FECHA;BTC;ORO
20/12/2017;16478.76175;1264.55
21/12/2017;15656.07011;1264.55
22/12/2017;14090.88809;1264.55
25/12/2017;13916.75108;1264.55
26/12/2017;15777.09583;1264.55
27/12/2017;15379.32951;1279.4
28/12/2017;14446.49232;1291
29/12/2017;14544.52457;1291
1/1/2018;13406.56;1291
2/1/2018;14762.1514;1312.05
3/1/2018;15143.01;1314.9
4/1/2018;15144.70514;1314.5
5/1/2018;16951.83558;1317.15
8/1/2018;14993.74;1319.95
9/1/2018;14415.65152;1311
10/1/2018;14883.32574;1319.75
11/1/2018;13311.83;1323.05
12/1/2018;13814.46662;1326.8
15/1/2018;13576.82903;1339.25
16/1/2018;11391.31216;1333.85
17/1/2018;11176.87;1335.65
18/1/2018;11296.60886;1332.2
19/1/2018;11545.51399;1334.95
22/1/2018;10777.42866;1332.6
23/1/2018;10845.48186;1333.4
24/1/2018;11392.93442;1353.7
25/1/2018;11146.75704;1354.95
26/1/2018;11098.89283;1353.15
29/1/2018;11156.43005;1343.85
30/1/2018;9983.900768;1344.9
31/1/2018;10102.08287;1345.05
1/2/2018;9010.210912;1341.35
2/2/2018;8810.23804;1331.15
5/2/2018;6901.380797;1333.6
6/2/2018;7702.859319;1331.4
7/2/2018;7574.66;1324.65
8/2/2018;8247.357331;1315.45
9/2/2018;8697.090747;1314.1
12/2/2018;8877.655367;1322.3
13/2/2018;8517.970231;1325.35
14/2/2018;9490.720299;1336.25
15/2/2018;10031.23;1352.45
16/2/2018;10183.7871;1352.1
19/2/2018;11145.48402;1346.6
20/2/2018;11231.89412;1339.85
21/2/2018;10454.57009;1330.5
22/2/2018;9830.052879;1328.35
23/2/2018;10158.12175;1327.95
26/2/2018;10299.83524;1333.5
27/2/2018;10552.23522;1325.75
28/2/2018;10308.76456;1317.85
1/3/2018;10899.42593;1307.75
2/3/2018;11022.34734;1322.3
5/3/2018;11417.39;1320.4
6/3/2018;10710.95423;1331.4
7/3/2018;9903.169715;1329.4
8/3/2018;9293.521291;1321
9/3/2018;9252.754183;1320.6
12/3/2018;9112.436276;1319.15
13/3/2018;9149.626682;1322.75
14/3/2018;8205.017694;1323.55
15/3/2018;8261.847228;1318.75
16/3/2018;8275;1310.1
19/3/2018;8595.824695;1312.4
20/3/2018;8902.256878;1311
21/3/2018;8899.509257;1321.35
22/3/2018;8711.271042;1329.15
23/3/2018;8915.789665;1346.6
26/3/2018;8142.19;1352.4
27/3/2018;7793.051625;1341.45
28/3/2018;7933.813283;1332.45
29/3/2018;7079.99;1323.85
30/3/2018;6848.139463;1323.85
2/4/2018;7046.429366;1323.85
3/4/2018;7423.769307;1333.45
4/4/2018;6793.774277;1337.3
5/4/2018;6779.343198;1327.7
6/4/2018;6619.19;1331.2
9/4/2018;6775.957991;1331.95
10/4/2018;6826.017224;1338.95
11/4/2018;6941.683907;1350.75
12/4/2018;7917.796086;1341.35
13/4/2018;7881.307407;1343.7
16/4/2018;8049.75;1349.35
17/4/2018;7892.1;1342.1
18/4/2018;8161.446136;1351.45
19/4/2018;8273.164653;1348.6
20/4/2018;8865.467145;1336.75
23/4/2018;8934.736707;1324.3
24/4/2018;9649.005549;1328.85
25/4/2018;8864.452339;1321.65
26/4/2018;9280;1320.7
27/4/2018;8921.54644;1321.5
30/4/2018;9241.367911;1313.2
1/5/2018;9070.332144;1307.1
2/5/2018;9220.130009;1304.2
3/5/2018;9730.56991;1315.05
4/5/2018;9691.780288;1309.4
7/5/2018;9361.614965;1309.4
8/5/2018;9178.292435;1306.6
9/5/2018;9304.027178;1313.85
10/5/2018;9012.613281;1318.8
11/5/2018;8399.74;1324.35
14/5/2018;8674.606343;1319.85
15/5/2018;8474.775165;1295
16/5/2018;8342.784851;1291.25
17/5/2018;8062.433181;1289.5
18/5/2018;8242.034292;1288.3
21/5/2018;8397.837734;1288.35
22/5/2018;7985.357822;1293.05
23/5/2018;7502.969691;1289
24/5/2018;7584.462499;1304.85
25/5/2018;7463.81641;1303.5
28/5/2018;7108.637964;1303.5
29/5/2018;7460;1295.5
30/5/2018;7378.288276;1300.7
31/5/2018;7487.363738;1305.35
1/6/2018;7516.065054;1294.6
4/6/2018;7490.74;1295.45
5/6/2018;7613.824074;1292.05
6/6/2018;7655.21824;1300.1
7/6/2018;7686.557641;1297.25
8/6/2018;7618.11;1298.25
11/6/2018;6880.15;1299.6
12/6/2018;6553.106353;1298.65
13/6/2018;6303.972508;1296.15
14/6/2018;6640.780498;1302.75
15/6/2018;6391.056146;1285.25
18/6/2018;6709.964404;1281.55
19/6/2018;6741.171615;1276.15
20/6/2018;6757.527055;1274.2
21/6/2018;6719.01;1266.15
22/6/2018;6059.662975;1269.15
25/6/2018;6246.482688;1268.7
26/6/2018;6074.94;1260.3
27/6/2018;6133.816145;1254.6
28/6/2018;5853.423402;1251.55
29/6/2018;6202.50605;1250.45
2/7/2018;6610.99;1247.8
3/7/2018;6502.566954;1251.75
4/7/2018;6584.71802;1255.65
5/7/2018;6532.95;1255.5
6/7/2018;6599.399296;1255.35
9/7/2018;6659.95;1262.05
10/7/2018;6303.642911;1254
11/7/2018;6380.517065;1251.4
12/7/2018;6244.248233;1245.9
13/7/2018;6216.371825;1241.7
16/7/2018;6728.264562;1241.1
17/7/2018;7314.775934;1232.8
18/7/2018;7376.209545;1224.5
19/7/2018;7470.868106;1217.55
20/7/2018;7332.107938;1228.75
23/7/2018;7717.666749;1224.95
24/7/2018;8403.83;1228.35
25/7/2018;8159.365684;1231.5
26/7/2018;7930.914507;1228.25
27/7/2018;8181.26;1223.95
30/7/2018;8165.974378;1223.8
31/7/2018;7727.18;1220.95
1/8/2018;7604.760194;1219
2/8/2018;7537.347346;1215.45
3/8/2018;7414.08;1216.3
6/8/2018;6936.688947;1209.65
7/8/2018;6718.136633;1212.35
8/8/2018;6281.532861;1209.55
9/8/2018;6539.292912;1214.35
10/8/2018;6145.30363;1214.4
13/8/2018;6253.192419;1200.35
14/8/2018;6193.62;1197
15/8/2018;6272.288183;1182
16/8/2018;6313.51;1180.4
17/8/2018;6582.317285;1178.4
20/8/2018;6257.620518;1184.35
21/8/2018;6475.9;1190.95
22/8/2018;6354.59;1196.65
23/8/2018;6526.36;1192.35
24/8/2018;6690.88;1197.7
27/8/2018;6907.72114;1197.7
28/8/2018;7072.252318;1212.25
29/8/2018;7035.053814;1204.2
30/8/2018;6983.160591;1197.3
31/8/2018;7016.098903;1202.45
3/9/2018;7260.458425;1200.05
4/9/2018;7359.827759;1190.85
5/9/2018;6681.01919;1196.7
6/9/2018;6493.545638;1205.15
7/9/2018;6395.01;1198.9
10/9/2018;6300.881406;1196.6
11/9/2018;6279.5;1189.85
12/9/2018;6324.399963;1195.6
13/9/2018;6485.7;1209.8
14/9/2018;6478.04;1201.95
17/9/2018;6252.045772;1201.9
18/9/2018;6335.7;1200.2
19/9/2018;6386.94;1203.3
20/9/2018;6492.98;1208.35
21/9/2018;6750.373222;1198.7
24/9/2018;6581.52;1202.75
25/9/2018;6429.789184;1201.9
26/9/2018;6457.181191;1194.25
27/9/2018;6680.722777;1185.4
28/9/2018;6619.913315;1187.25
1/10/2018;6573.233437;1189.35
2/10/2018;6500.68;1204.7
3/10/2018;6463.910721;1201.2
4/10/2018;6547.45;1203.45
5/10/2018;6590.227439;1203.8
8/10/2018;6605.747219;1186.95
9/10/2018;6589.48;1185.55
10/10/2018;6523.284643;1188.6
11/10/2018;6154.69;1205.55
12/10/2018;6187.92505;1219.75
15/10/2018;6439.049438;1229.95
16/10/2018;6457.401039;1230.7
17/10/2018;6442.567278;1229.05
18/10/2018;6394.95;1223
19/10/2018;6384.333295;1227.85
22/10/2018;6408.285042;1222.3
23/10/2018;6395.063587;1235.95
24/10/2018;6413.564314;1230.55
25/10/2018;6394.74335;1230.8
26/10/2018;6404.87;1233.85
29/10/2018;6265.2;1230.8
30/10/2018;6268.361536;1225.4
31/10/2018;6303.599954;1214.95
1/11/2018;6343.770757;1231.15
2/11/2018;6349.8;1232.1
5/11/2018;6404.104682;1232.25
6/11/2018;6447.06;1231.6
7/11/2018;6501.413828;1229.95
8/11/2018;6408.463631;1224.15
9/11/2018;6335.617054;1211.4
12/11/2018;6326.570971;1205.55
13/11/2018;6260.91;1202.1
14/11/2018;5599.809557;1203.25
15/11/2018;5575.56;1211.85
16/11/2018;5513.283966;1222.4
19/11/2018;4734.06;1221.6
20/11/2018;4354.46;1223
21/11/2018;4546.596152;1226.1
22/11/2018;4261.796643;1227.05
23/11/2018;4288.235543;1223.65
26/11/2018;3724.458365;1223.4
27/11/2018;3773.21581;1221.2
28/11/2018;4217.213203;1213.25
29/11/2018;4245.470551;1226.25
30/11/2018;3975.83693;1217.55
3/12/2018;3833.811826;1230.3
4/12/2018;3902.707187;1240.3
5/12/2018;3690.412605;1235.9
6/12/2018;3433.26;1242.55
7/12/2018;3380.68;1243.3
10/12/2018;3411.061752;1245.35
11/12/2018;3349.534636;1245.3
12/12/2018;3431.42;1245.75
13/12/2018;3262.859122;1242.75
14/12/2018;3194.234582;1235.35
17/12/2018;3498.500747;1241.65
18/12/2018;3667.174003;1246.3
19/12/2018;3683.591519;1255
20/12/2018;4075.937342;1259.75
21/12/2018;3838.988031;1258.15
24/12/2018;4034.351456;1258.15
25/12/2018;3779.99;1258.15
26/12/2018;3809.329961;1258.15
27/12/2018;3589.89;1268
28/12/2018;3887.176188;1279
31/12/2018;3687.99;1279
1/1/2019;3823.17;1279
2/1/2019;3888.287877;1282.9
3/1/2019;3785.63;1290.45
4/1/2019;3822.288443;1279.9
7/1/2019;4005.45;1292.2
8/1/2019;3993.86;1286.45
9/1/2019;4003.125993;1288.6
10/1/2019;3626.343368;1291.9
11/1/2019;3634.769387;1288.95
14/1/2019;3664.604374;1292.75
15/1/2019;3582.296172;1294.4
16/1/2019;3604.3456;1292.3
17/1/2019;3640.65;1290.7
18/1/2019;3607.81;1284.2
21/1/2019;3532.767448;1279.55
22/1/2019;3576.919875;1282.1
23/1/2019;3553.084945;1279.8
24/1/2019;3568.852593;1283.7
25/1/2019;3561.94893;1293.9
28/1/2019;3430.210848;1302.15
29/1/2019;3396.355942;1307.55
30/1/2019;3436.690241;1310.7
31/1/2019;3410.098739;1323.25
1/2/2019;3436.820844;1318.7
4/2/2019;3411.362683;1312.15
5/2/2019;3428.562103;1314.2
6/2/2019;3367.295834;1312.4
7/2/2019;3359;1310
8/2/2019;3621.776933;1314.85
11/2/2019;3590.275262;1306.4
12/2/2019;3588.09506;1310
13/2/2019;3577.408928;1312.8
14/2/2019;3561.257518;1311.45
15/2/2019;3566.168197;1316.55
18/2/2019;3868.306128;1325.5
19/2/2019;3891.80336;1334.15
20/2/2019;3941.50573;1343.75
21/2/2019;3897.587953;1331.25
22/2/2019;3942.68607;1329.05
25/2/2019;3818.75;1331.05
26/2/2019;3798.218188;1325.05
27/2/2019;3799.1;1322.85
28/2/2019;3792.215772;1319.15
1/3/2019;3806.125667;1311.95
4/3/2019;3700.476054;1285.4
5/3/2019;3845.286998;1283.8
6/3/2019;3851.53;1285.85
7/3/2019;3855.889006;1285.3
8/3/2019;3842.328261;1296.75
11/3/2019;3849.372584;1292.75
12/3/2019;3859.936147;1297.05
13/3/2019;3851.424362;1306.95
14/3/2019;3854.788011;1295.55
15/3/2019;3901.862799;1303.5
18/3/2019;3969.920763;1305.6
19/3/2019;3999.878579;1307.7
20/3/2019;4033.034766;1303.7
21/3/2019;3974.110358;1309.6
22/3/2019;3983.471436;1311.3
25/3/2019;3908.080258;1319.55
26/3/2019;3920.71329;1316.3
27/3/2019;4026.393909;1309.7
28/3/2019;4012.428128;1295.15
29/3/2019;4089.944098;1295.4
1/4/2019;4137.462403;1293.5
2/4/2019;4902.08657;1290.3
3/4/2019;4973.955602;1290.45
4/4/2019;4904.067009;1283.15
5/4/2019;5037.73002;1288.45
8/4/2019;5289.002225;1300
9/4/2019;5193.5;1303
10/4/2019;5319.910334;1305.45
11/4/2019;5041.773828;1298.8
12/4/2019;5078.675255;1294.3
15/4/2019;5035.509901;1285.65
16/4/2019;5205.065673;1276.35
17/4/2019;5227.756643;1275.85
18/4/2019;5281.483653;1275.7
19/4/2019;5288.910563;1275.7
22/4/2019;5386.724806;1275.7
23/4/2019;5533.182169;1269.5
24/4/2019;5443.14;1271.65
25/4/2019;5134.808307;1280.8
